NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
121900095,22544,반포4동주민센터입구,마을버스,127.0000689924,37.5005416631,955811.2338583424,1944703.777529262
121900321,22547,여의3교,마을버스,127.0557998691,37.4525340361,960712.1742541784,1939352.9555177493
121900097,22548,임광아파트정문,마을버스,127.0010130728,37.4765668747,955880.5830673728,1942043.4870690892
121900099,22550,서초래미안아파트정문,마을버스,127.0187319391,37.500285166,957460.711478372,1944666.7217103264
121900100,22551,뉴코아백화점,마을버스,127.0080753177,37.5093091088,956523.9999847416,1945672.74225866
121900101,22552,서울교대정문,마을버스,127.0163712913,37.4889577449,957245.5955599798,1943411.086730372
121900298,22553,일동제약,마을버스,127.0376175038,37.4773511613,959117.5193801348,1942113.977146693
121900102,22554,롯데캐슬클래식.사랑의교회,마을버스,127.0229572589,37.4997374512,957833.8818037348,1944604.0548070867
121900104,22556,언남중고교,마을버스,127.0457968477,37.4718794592,959837.7886744344,1941503.409937196
121900105,22557,방배3동주민센터,마을버스,126.9998162822,37.4784490339,955775.8737299226,1942252.8614766616
121900106,22558,우리수퍼,마을버스,126.986197654,37.4846706169,954575.5305704266,1942949.5886700093
121900107,22559,서초래미안아파트남문,마을버스,127.0204175134,37.4974383029,957608.0909487552,1944350.1198329576
121900108,22560,경원중학교,마을버스,127.00955354,37.5118733237,956656.12801725,1945956.5442953897
121900109,22561,청호나이스,마을버스,127.0130611243,37.4879588324,956952.3906011684,1943301.7723997876
121900110,22562,구름다리,마을버스,126.99213624,37.4799007004,955097.7009442768,1942417.5489957065
121900112,22565,아크로비스타.미도아파트,마을버스,127.0124973884,37.4980458485,956908.3491949769,1944421.119813503
121900113,22566,방배(백석예술대)역1번출구,마을버스,126.9980947232,37.4809786782,955625.1557066552,1942534.318696502
121900114,22567,잠원역,마을버스,127.0115251789,37.5128516004,956830.9388490984,1946064.171719961
121900265,22570,도구로입구,마을버스,126.9891702182,37.4786803776,954834.7265997418,1942283.5807917109
121900117,22571,국립중앙도서관,마을버스,127.0044198835,37.4979220747,956194.2801577706,1944411.1167184224
121900245,22572,반포1동성당,마을버스,127.0207027838,37.5041168276,957637.0804912548,1945090.9314365955
121900118,22574,방배(백석예술대)역.서초프라자약국,마을버스,126.9973009069,37.4822348038,955555.7157642664,1942674.0519729569
121900119,22575,동덕여고,마을버스,126.9929346869,37.474535574,955165.0901573524,1941821.9434229888
121900120,22576,이수역4번출구,마을버스,126.9828785969,37.4855775952,954282.6484823852,1943051.81860372
121900122,22578,유원아파트,마을버스,127.0178666711,37.4955095778,957381.515956174,1944137.292067193
121900123,22579,서초역2번출구,마을버스,127.0081468857,37.4912987658,956519.8828080348,1943674.5748061568
121900296,22581,국립국악원,마을버스,127.0087096724,37.478170527,956562.0335189266,1942217.8232554025
121900246,22587,논현역5번출구,마을버스,127.0214930177,37.5102896713,957710.4085565706,1945775.4146651176
121900221,22595,대법원,마을버스,127.0064912987,37.4916070459,956373.7062605964,1943709.542491008
121900220,22596,롯데캐슬클래식,마을버스,127.022435,37.500431,957788.1091542852,1944681.2337542195
121000937,22600,강남역도시에빛,일반차로,127.028862784,37.4948298181,958353.1527112112,1944056.9550407508
121000957,22601,KT삼거리,일반차로,127.03021,37.472187,958459.708002396,1941544.290654434
121000958,22602,KT연구개발센터정문,일반차로,127.0300162908,37.4704352425,958441.6096748773,1941350.030741145
121000959,22604,형촌마을입구,일반차로,127.0221930408,37.4623284779,957745.2707786048,1940454.1226676768
121000983,22605,서초호반써밋,일반차로,127.0146667957,37.4576416633,957077.0062762604,1939937.556418178
121000982,22607,호반써밋서초파크.파크뷰,일반차로,127.0256209436,37.4600431105,958047.1414357544,1940199.045183102
121001329,22608,서리풀문화광장,일반차로,127.0054983231,37.4910022065,956285.5738968104,1943642.9001130653
